slide_id,proposal_radius,nms_radius,anchor_rank,strategy,param_name,param_value,bbox_expand,high_radius,anchor_score,anchor_center_x,anchor_center_y,original_anchor_bbox_area,original_bbox_width,original_bbox_height,expanded_bbox_area,bbox_width,bbox_height,neighbor_count,top_class_name,top_concept,nearest_high_min_distance,nearest_high_median_topm_distance,nearest_high_mean_topm_distance,high_patch_density_in_bbox,raw_child_count,used_child_count,empty_child_flag,fallback_child_count,fallback_ratio,used_child_distance_mean,used_child_distance_min,used_child_distance_max,raw_child_distance_mean,raw_child_distance_median
2460239-B2,2048.0,1024.0,1,bbox_then_nearest,bbox_expand,4.0,4.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,0.0,0,16,False,16,1.0,2479.247403511652,1024.0,3238.1723240124206,,
2460239-B2,2048.0,1024.0,1,bbox_containment,bbox_expand,6.0,6.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,1,bbox_then_nearest,bbox_expand,6.0,6.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,0.0,0,16,False,16,1.0,2479.247403511652,1024.0,3238.1723240124206,,
2460239-B2,2048.0,1024.0,1,bbox_containment,bbox_expand,8.0,8.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,4.76837158203125e-07,2,2,False,0,0.0,1236.0773439350246,1024.0,1448.1546878700494,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,1,bbox_then_nearest,bbox_expand,8.0,8.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,4.76837158203125e-07,2,16,False,14,0.875,2479.247403511652,1024.0,3238.1723240124206,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,1,bbox_containment,bbox_expand,10.0,10.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,3.0517578125e-07,2,2,False,0,0.0,1236.0773439350246,1024.0,1448.1546878700494,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,1,bbox_then_nearest,bbox_expand,10.0,10.0,,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,3.0517578125e-07,2,16,False,14,0.875,2479.247403511652,1024.0,3238.1723240124206,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,1,center_radius,high_radius,512.0,,512.0,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,1,center_radius,high_radius,1024.0,,1024.0,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,,1,1,False,0,0.0,1024.0,1024.0,1024.0,1024.0,1024.0
2460239-B2,2048.0,1024.0,1,center_radius,high_radius,2048.0,,2048.0,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,,4,4,False,0,0.0,1642.0386719675123,1024.0,2048.0,1642.0386719675123,1748.0773439350246
2460239-B2,2048.0,1024.0,1,center_radius,high_radius,4096.0,,4096.0,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,,24,16,False,0,0.0,2479.247403511652,1024.0,3238.1723240124206,2881.4432423604,3072.0
2460239-B2,2048.0,1024.0,1,center_radius,high_radius,8192.0,,8192.0,0.4965290427207947,29744.0,20449.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2479.247403511652,,108,16,False,0,0.0,2479.247403511652,1024.0,3238.1723240124206,5371.384311492154,5514.408762505732
2460239-B2,2048.0,1024.0,2,bbox_containment,bbox_expand,2.0,2.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,3.814697265625e-06,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_then_nearest,bbox_expand,2.0,2.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,3.814697265625e-06,1,16,False,15,0.9375,1559.363723647472,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_containment,bbox_expand,3.0,3.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,1.6954210069444444e-06,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_then_nearest,bbox_expand,3.0,3.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,1.6954210069444444e-06,1,16,False,15,0.9375,1559.363723647472,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_containment,bbox_expand,4.0,4.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,9.5367431640625e-07,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_then_nearest,bbox_expand,4.0,4.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,9.5367431640625e-07,1,16,False,15,0.9375,1559.363723647472,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_containment,bbox_expand,6.0,6.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,4.238552517361111e-07,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_then_nearest,bbox_expand,6.0,6.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,4.238552517361111e-07,1,16,False,15,0.9375,1559.363723647472,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,2,bbox_containment,bbox_expand,8.0,8.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,2.1457672119140625e-06,9,9,False,0,0.0,1098.735416831133,0.0,1448.1546878700494,1098.735416831133,1024.0
2460239-B2,2048.0,1024.0,2,bbox_then_nearest,bbox_expand,8.0,8.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,2.1457672119140625e-06,9,16,False,7,0.4375,1559.363723647472,0.0,2289.7336089597848,1098.735416831133,1024.0
2460239-B2,2048.0,1024.0,2,bbox_containment,bbox_expand,10.0,10.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,1.373291015625e-06,9,9,False,0,0.0,1098.735416831133,0.0,1448.1546878700494,1098.735416831133,1024.0
2460239-B2,2048.0,1024.0,2,bbox_then_nearest,bbox_expand,10.0,10.0,,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,1.373291015625e-06,9,16,False,7,0.4375,1559.363723647472,0.0,2289.7336089597848,1098.735416831133,1024.0
2460239-B2,2048.0,1024.0,2,center_radius,high_radius,512.0,,512.0,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,,,,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,2,center_radius,high_radius,1024.0,,1024.0,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,,,,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,,5,5,False,0,0.0,819.2,0.0,1024.0,819.2,1024.0
2460239-B2,2048.0,1024.0,2,center_radius,high_radius,2048.0,,2048.0,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,,,,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,,13,13,False,0,0.0,1390.8168270369385,0.0,2048.0,1390.8168270369385,1448.1546878700494
2460239-B2,2048.0,1024.0,2,center_radius,high_radius,4096.0,,4096.0,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,,,,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,,49,16,False,0,0.0,1559.363723647472,0.0,2289.7336089597848,2695.8730564656985,2896.309375740099
2460239-B2,2048.0,1024.0,2,center_radius,high_radius,8192.0,,8192.0,0.4744136333465576,62512.0,49121.0,65536.0,256.0,256.0,,,,1,Adenocarcinoma,infiltrative glandular adenocarcinoma,0.0,1448.1546878700494,1559.363723647472,,171,16,False,0,0.0,1559.363723647472,0.0,2289.7336089597848,5211.697519127995,5221.395981919011
2460239-B2,2048.0,1024.0,3,bbox_containment,bbox_expand,2.0,2.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,3,bbox_then_nearest,bbox_expand,2.0,2.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,2048.0,1024.0,3,bbox_containment,bbox_expand,3.0,3.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,3,bbox_then_nearest,bbox_expand,3.0,3.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,2048.0,1024.0,3,bbox_containment,bbox_expand,4.0,4.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,3,bbox_then_nearest,bbox_expand,4.0,4.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,2048.0,1024.0,3,bbox_containment,bbox_expand,6.0,6.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,3,bbox_then_nearest,bbox_expand,6.0,6.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,0.0,0,16,False,16,1.0,2173.8357978549307,1024.0,2896.309375740099,,
2460239-B2,2048.0,1024.0,3,bbox_containment,bbox_expand,8.0,8.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,7.152557373046875e-07,3,3,False,0,0.0,1306.7697919133661,1024.0,1448.1546878700494,1306.7697919133664,1448.1546878700494
2460239-B2,2048.0,1024.0,3,bbox_then_nearest,bbox_expand,8.0,8.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,7.152557373046875e-07,3,16,False,13,0.8125,2173.8357978549307,1024.0,2896.309375740099,1306.7697919133664,1448.1546878700494
2460239-B2,2048.0,1024.0,3,bbox_containment,bbox_expand,10.0,10.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,4.57763671875e-07,3,3,False,0,0.0,1306.7697919133661,1024.0,1448.1546878700494,1306.7697919133664,1448.1546878700494
2460239-B2,2048.0,1024.0,3,bbox_then_nearest,bbox_expand,10.0,10.0,,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,4.57763671875e-07,3,16,False,13,0.8125,2173.8357978549307,1024.0,2896.309375740099,1306.7697919133664,1448.1546878700494
2460239-B2,2048.0,1024.0,3,center_radius,high_radius,512.0,,512.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,3,center_radius,high_radius,1024.0,,1024.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,1,1,False,0,0.0,1024.0,1024.0,1024.0,1024.0,1024.0
2460239-B2,2048.0,1024.0,3,center_radius,high_radius,2048.0,,2048.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,6,6,False,0,0.0,1677.384895956683,1024.0,2048.0,1677.384895956683,1748.0773439350246
2460239-B2,2048.0,1024.0,3,center_radius,high_radius,4096.0,,4096.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,37,16,False,0,0.0,2173.8357978549307,1024.0,2896.309375740099,2904.7921875643665,3072.0
2460239-B2,2048.0,1024.0,3,center_radius,high_radius,8192.0,,8192.0,0.46646201610565186,110020.0,47905.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,metastatic tumor in lung,1024.0,2289.7336089597848,2173.8357978549307,,133,16,False,0,0.0,2173.8357978549307,1024.0,2896.309375740099,5367.117605242838,5514.408762505732
2460239-B2,2048.0,1024.0,4,bbox_containment,bbox_expand,2.0,2.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,4,bbox_then_nearest,bbox_expand,2.0,2.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,16,False,16,1.0,2414.6651633921715,1024.0,3692.084506075125,,
2460239-B2,2048.0,1024.0,4,bbox_containment,bbox_expand,3.0,3.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,4,bbox_then_nearest,bbox_expand,3.0,3.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,16,False,16,1.0,2414.6651633921715,1024.0,3692.084506075125,,
2460239-B2,2048.0,1024.0,4,bbox_containment,bbox_expand,4.0,4.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,4,bbox_then_nearest,bbox_expand,4.0,4.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,16,False,16,1.0,2414.6651633921715,1024.0,3692.084506075125,,
2460239-B2,2048.0,1024.0,4,bbox_containment,bbox_expand,6.0,6.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,4,bbox_then_nearest,bbox_expand,6.0,6.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,0.0,0,16,False,16,1.0,2414.6651633921715,1024.0,3692.084506075125,,
2460239-B2,2048.0,1024.0,4,bbox_containment,bbox_expand,8.0,8.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,9.5367431640625e-07,4,4,False,0,0.0,1236.0773439350246,1024.0,1448.1546878700494,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,4,bbox_then_nearest,bbox_expand,8.0,8.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,4194304.0,2048.0,2048.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,9.5367431640625e-07,4,16,False,12,0.75,2414.6651633921715,1024.0,3692.084506075125,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,4,bbox_containment,bbox_expand,10.0,10.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,6.103515625e-07,4,4,False,0,0.0,1236.0773439350246,1024.0,1448.1546878700494,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,4,bbox_then_nearest,bbox_expand,10.0,10.0,,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,6553600.0,2560.0,2560.0,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,6.103515625e-07,4,16,False,12,0.75,2414.6651633921715,1024.0,3692.084506075125,1236.0773439350246,1236.0773439350246
2460239-B2,2048.0,1024.0,4,center_radius,high_radius,512.0,,512.0,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,,0,0,True,0,0.0,,,,,
2460239-B2,2048.0,1024.0,4,center_radius,high_radius,1024.0,,1024.0,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,,2,2,False,0,0.0,1024.0,1024.0,1024.0,1024.0,1024.0
2460239-B2,2048.0,1024.0,4,center_radius,high_radius,2048.0,,2048.0,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,,6,6,False,0,0.0,1506.7182292900163,1024.0,2048.0,1506.7182292900163,1448.1546878700494
2460239-B2,2048.0,1024.0,4,center_radius,high_radius,4096.0,,4096.0,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,,17,16,False,0,0.0,2414.6651633921715,1024.0,3692.084506075125,2489.807477667639,2289.7336089597848
2460239-B2,2048.0,1024.0,4,center_radius,high_radius,8192.0,,8192.0,0.4663419723510742,118708.0,2976.0,65536.0,256.0,256.0,,,,1,NonAdenocarcinoma,benign reactive lung tissue,1024.0,2289.7336089597848,2414.6651633921715,,30,16,False,0,0.0,2414.6651633921715,1024.0,3692.084506075125,4144.472903925936,3692.084506075125
2460239-B2,2048.0,1024.0,5,bbox_containment,bbox_expand,2.0,2.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,3.814697265625e-06,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_then_nearest,bbox_expand,2.0,2.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,262144.0,512.0,512.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,3.814697265625e-06,1,16,False,15,0.9375,1574.4720742074585,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_containment,bbox_expand,3.0,3.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,1.6954210069444444e-06,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_then_nearest,bbox_expand,3.0,3.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,589824.0,768.0,768.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,1.6954210069444444e-06,1,16,False,15,0.9375,1574.4720742074585,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_containment,bbox_expand,4.0,4.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,9.5367431640625e-07,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_then_nearest,bbox_expand,4.0,4.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,1048576.0,1024.0,1024.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,9.5367431640625e-07,1,16,False,15,0.9375,1574.4720742074585,0.0,2289.7336089597848,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_containment,bbox_expand,6.0,6.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,4.238552517361111e-07,1,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2460239-B2,2048.0,1024.0,5,bbox_then_nearest,bbox_expand,6.0,6.0,,0.4656977951526642,117461.0,74504.0,65536.0,256.0,256.0,2359296.0,1536.0,1536.0,1,NonAdenocarcinoma,benign reactive lung tissue,0.0,1448.1546878700494,1574.4720742074585,4.238552517361111e-07,1,16,False,15,0.9375,1574.4720742074585,0.0,2289.7336089597848,0.0,0.0
